TowNum|Tow_Firm|Tow_Firm_Address|Tow_Firm_Phone|Vehicle_State|Vehicle_Plate|Vehicle_Year|Make|Model|Color|Tow_From_Address|Date|Time|geom
323571|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|CT|AD06664|2005|LINCOLN|TOWNCAR|BLK|1313 MAIN ST|6192016|121|(41.7723467462953, -72.6763204109765)
323573|RENO'S AUTO BODY|525 FRANKLIN AV. HARTFORD, CT 06114|860-296-1518|CT|1AVHJ5|2003|HONDA|ACCORD|TAN|183 GILMAN ST|6192016|130|(41.7356010783077, -72.6853389389447)
323572|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|CT|8AGXT4|2000|ACURA|3.2 TL|WHITE|185 WESTMINSTER ST|6192016|126|(41.797062626604, -72.704496511447)
323433|CORONA'S AUTO PARTS,INC.|608 WETHERSFIELD AV. HARTFORD CT. 06114|860-296-5382|||2003|CHEVY|VENTURE|GREEN|HAWTHORN ST & SIGOURNEY ST|6142016|830|(41.7650965870756, -72.6939473827546)
323432|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|||1998|NISSAN|MAXIMA|SILVER|231 BELLEVUE ST|6142016|825|(41.7830485303755, -72.6734308150733)
323431|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|CT|AD65128|1998|AUDI|A4|GRAY|285 BELLEVUE ST|6142016|821|(41.7841360934165, -72.6735728172071)
323427|WHITEY'S FRAME SHOP|305 WEST SERVICE RD. HARTFORD, CT 06120|860-246-6871|CT|7AVXH8|2000|NISSAN|MAXIMA|GRAY|231 ASHLEY ST|6142016|39|(41.7755722752006, -72.6974479183244)
323428|A & N AUTO|1516,PARK ST,HARTFORD,CT,06106|860-233-7079|CT|AD06659|1996|HONDA|ACCORD|BLACK|BLUE HILLS AV & PEMBROKE ST|6142016|620|(41.7938514070151, -72.6972269043993)
323430|BENTON AUTO BODY|155 FRANKLIN AV. HARTFORD, CT 06114|860-246-7771|CT|6AVLR7|2000|NISSAN|ALTIMA|BROWN|BETHEL ST & PLINY ST|6142016|728|(41.7800104987583, -72.6797727079302)
323434|FRIENDLY AUTO BODY & TOWING|99 MEADOW ST.  HARTFORD, CT. 06114|860-296-8588|CT|623YJH|2001|OLDS|ALERO|B|L|61 BEDFORD ST|6142016|953
323435|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|CT|6ASDH9|2005|CHEVY|IMPALA|GRAY|128 WOOSTER ST|6142016|940|(41.7818983023881, -72.6745629090659)
323436|METRO AUTOBODY & TOWING INC|722 WETHERSFIELD AV  HARTFORD CT 06114|860-947-3062|CT|5AVGV4|2005|CHRYSLER|300|BLACK|9 ELLIOTT ST|6142016|1002|(41.7461897234269, -72.673923977147)
323437|||860-947-3062|MA|2HS845|2013|HYUNDAI|ELANTRA|GRAY|777 MAIN ST|6142016|1054|(41.7659532245849, -72.6736795082042)
323438|MODERN GARAGE|100A,AIRPORT RD,HARTFORD,CT,06114|860-296-9663|AZ|BX2371|2008|CHEVROLET|MALIBU|GOLD|56 THEODORE NAPPER LA|6142016|1123|(41.7942051898002, -72.6700902503607)
323444|CROSS COUNTRY AUTO|585 WINDOSR ST. HARTFORD, CT 06120|860-296-2826|CT|759XGW|1997|TOYOTA|CAMRY|BLUE|84 FOREST ST|6142016|1415|(41.7673966419569, -72.6996399718106)
